model,seed,horizon,forecast_origin,history_start,history_end,target_year,train_cutoff,topic_id,prediction,actual,predicted_growth,actual_growth
full,42,3,2019,2012,2019,2022,2019,alignment,9.945694923400879,15.0,0.9456949234008789,6.0
full,42,3,2019,2012,2019,2022,2019,along,12.116120338439941,32.0,-3.8838796615600586,16.0
full,42,3,2019,2012,2019,2022,2019,along the silk,0.03204791247844696,15.0,0.03204791247844696,15.0
full,42,3,2019,2012,2019,2022,2019,alternative,3.9113006591796875,48.0,-33.08869934082031,11.0
full,42,3,2019,2012,2019,2022,2019,america,23.053585052490234,139.0,-93.94641494750977,22.0
full,42,3,2019,2012,2019,2022,2019,american,7.159577369689941,55.0,-81.84042263031006,-34.0
full,42,3,2019,2012,2019,2022,2019,an empirical,1.9444079399108887,24.0,-16.05559206008911,6.0
full,42,3,2019,2012,2019,2022,2019,an empirical study,0.03204791247844696,7.0,0.03204791247844696,7.0
full,42,3,2019,2012,2019,2022,2019,an example,8.937655448913574,22.0,0.9376554489135742,14.0
full,42,3,2019,2012,2019,2022,2019,an exploratory,15.371960639953613,49.0,-15.628039360046387,18.0
full,42,3,2019,2012,2019,2022,2019,an exploratory study,15.371960639953613,49.0,-15.628039360046387,18.0
full,42,3,2019,2012,2019,2022,2019,an immersive,2.5302460193634033,8.0,-4.469753980636597,1.0
full,42,3,2019,2012,2019,2022,2019,an integrated,0.03204791247844696,8.0,0.03204791247844696,8.0
full,42,3,2019,2012,2019,2022,2019,an introduction,10.053316116333008,27.0,-3.946683883666992,13.0
full,42,3,2019,2012,2019,2022,2019,an investigation,5.238770484924316,0.0,-10.761229515075684,-16.0
full,42,3,2019,2012,2019,2022,2019,an overview,0.9494742751121521,31.0,-8.050525724887848,22.0
full,42,3,2019,2012,2019,2022,2019,an overview of,1.8855007886886597,31.0,-16.11449921131134,13.0
full,42,3,2019,2012,2019,2022,2019,analyses,2.327930450439453,13.0,-11.672069549560547,-1.0
full,42,3,2019,2012,2019,2022,2019,analytic hierarchy process,0.03204791247844696,0.0,0.03204791247844696,0.0
full,42,3,2019,2012,2019,2022,2019,analytical,0.03204791247844696,0.0,0.03204791247844696,0.0
full,42,3,2019,2012,2019,2022,2019,analytics,14.631048202514648,37.0,-30.36895179748535,-8.0
full,42,3,2019,2012,2019,2022,2019,analyzing,0.4393872022628784,20.0,-4.560612797737122,15.0
full,42,3,2019,2012,2019,2022,2019,ancient,4.009971618652344,72.0,-43.990028381347656,24.0
full,42,3,2019,2012,2019,2022,2019,ancient city,0.03204791247844696,0.0,0.03204791247844696,0.0
full,42,3,2019,2012,2019,2022,2019,and al jazeera,3.202535390853882,27.0,-24.797464609146118,-1.0
full,42,3,2019,2012,2019,2022,2019,and disaster risk,6.623157501220703,6.0,0.6231575012207031,0.0
full,42,3,2019,2012,2019,2022,2019,and future directions,5.238770484924316,25.0,-10.761229515075684,9.0
full,42,3,2019,2012,2019,2022,2019,and generative ai,0.03204791247844696,0.0,0.03204791247844696,0.0
full,42,3,2019,2012,2019,2022,2019,and nation branding,0.03204791247844696,8.0,0.03204791247844696,8.0
full,42,3,2019,2012,2019,2022,2019,and place branding,2.897935390472412,13.0,-5.102064609527588,5.0
full,42,3,2019,2012,2019,2022,2019,and the future,3.252946138381958,17.0,-5.747053861618042,8.0
full,42,3,2019,2012,2019,2022,2019,and the future of,3.252946138381958,17.0,-5.747053861618042,8.0
full,42,3,2019,2012,2019,2022,2019,and user-generated content,2.897935390472412,8.0,-5.102064609527588,0.0
full,42,3,2019,2012,2019,2022,2019,annual,7.832056522369385,7.0,0.8320565223693848,0.0
full,42,3,2019,2012,2019,2022,2019,answering,0.03204791247844696,8.0,0.03204791247844696,8.0
full,42,3,2019,2012,2019,2022,2019,antecedents,15.308563232421875,50.0,-9.691436767578125,25.0
full,42,3,2019,2012,2019,2022,2019,anxiety,7.832056522369385,20.0,0.8320565223693848,13.0
full,42,3,2019,2012,2019,2022,2019,applications,25.149316787719727,209.0,-77.85068321228027,106.0
full,42,3,2019,2012,2019,2022,2019,applications in,21.72650909423828,69.0,-32.27349090576172,15.0
full,42,3,2019,2012,2019,2022,2019,applications of,16.17342758178711,49.0,-9.82657241821289,23.0
full,42,3,2019,2012,2019,2022,2019,applied,6.117105007171631,31.0,-12.88289499282837,12.0
