model,seed,horizon,forecast_origin,history_start,history_end,target_year,train_cutoff,topic_id,prediction,actual,predicted_growth,actual_growth
full,42,3,2019,2012,2019,2022,2019,middle east,70.1070785522461,197.0,-118.8929214477539,8.0
full,42,3,2019,2012,2019,2022,2019,服务,91.4890365600586,153.0,-96.5109634399414,-35.0
full,42,3,2019,2012,2019,2022,2019,source,86.523193359375,163.0,-100.476806640625,-24.0
full,42,3,2019,2012,2019,2022,2019,carrying capacity,71.41033935546875,84.0,-114.58966064453125,-102.0
full,42,3,2019,2012,2019,2022,2019,数字,91.50729370117188,626.0,-93.49270629882812,441.0
full,42,3,2019,2012,2019,2022,2019,in the middle,72.77828979492188,174.0,-109.22171020507812,-8.0
full,42,3,2019,2012,2019,2022,2019,系统综述,87.40414428710938,229.0,-94.59585571289062,47.0
full,42,3,2019,2012,2019,2022,2019,实践,89.51931762695312,230.0,-88.48068237304688,52.0
full,42,3,2019,2012,2019,2022,2019,graph,85.80010223388672,223.0,-90.19989776611328,47.0
full,42,3,2019,2012,2019,2022,2019,outbound,45.20808029174805,108.0,-130.79191970825195,-68.0
full,42,3,2019,2012,2019,2022,2019,语境,87.90538024902344,258.0,-87.09461975097656,83.0
full,42,3,2019,2012,2019,2022,2019,框架,78.30188751220703,263.0,-93.69811248779297,91.0
full,42,3,2019,2012,2019,2022,2019,al jazeera,85.02328491210938,138.0,-85.97671508789062,-33.0
full,42,3,2019,2012,2019,2022,2019,jazeera,85.02328491210938,138.0,-85.97671508789062,-33.0
full,42,3,2019,2012,2019,2022,2019,流程,90.44058227539062,221.0,-78.55941772460938,52.0
full,42,3,2019,2012,2019,2022,2019,belt,87.73030090332031,328.0,-78.26969909667969,162.0
full,42,3,2019,2012,2019,2022,2019,in the middle east,70.84817504882812,190.0,-94.15182495117188,25.0
full,42,3,2019,2012,2019,2022,2019,政策,81.84719848632812,255.0,-83.15280151367188,90.0
full,42,3,2019,2012,2019,2022,2019,软实力,80.56304168701172,177.0,-84.43695831298828,12.0
full,42,3,2019,2012,2019,2022,2019,marketing,82.77906036376953,345.0,-81.22093963623047,181.0
full,42,3,2019,2012,2019,2022,2019,religious,86.70964813232422,227.0,-76.29035186767578,64.0
full,42,3,2019,2012,2019,2022,2019,country,83.31721496582031,254.0,-78.68278503417969,92.0
full,42,3,2019,2012,2019,2022,2019,islam,90.9971923828125,119.0,-71.0028076171875,-43.0
full,42,3,2019,2012,2019,2022,2019,urban,78.34171295166016,252.0,-83.65828704833984,90.0
full,42,5,2019,2012,2019,2024,2019,旅游,214.33670043945312,5508.0,-2816.663299560547,2477.0
